Matrix,Threads,Config,Optimization,Time_ms,Speedup_vs_Serial,Speedup_vs_Phase1,Improvement_Percent
25k_0p03.mtx,2,RegBlock8 + Prefetch8,Combined,0.1120,7106.4,-5.04,-5.04
25k_0p03.mtx,4,RegBlock-4 + Baseline,Baseline,0.0558,14064.3,19.42,+19.42
25k_0p03.mtx,4,Prefetch-8 + Baseline,Baseline,0.0598,13134.7,13.72,+13.72
25k_0p03.mtx,4,Prefetch-16 + Baseline,Baseline,0.0558,14076.1,19.49,+19.49
25k_0p03.mtx,4,RegBlock4 + Prefetch8,Combined,0.0572,13735.3,17.49,+17.49
25k_0p03.mtx,4,RegBlock4 + Prefetch16,Combined,0.0579,13565.4,16.46,+16.46
25k_0p03.mtx,4,RegBlock8 + Prefetch8,Combined,0.0619,12684.4,10.66,+10.66
25k_0p03.mtx,8,Prefetch-16 + Baseline,Baseline,0.0406,19381.0,10.25,+10.25
25k_0p03.mtx,16,RegBlock-8 + Baseline,Baseline,0.0333,23886.7,-0.64,-0.64
25k_0p03.mtx,16,Prefetch-8 + Baseline,Baseline,0.0273,29137.8,17.50,+17.50
25k_0p03.mtx,16,Prefetch-16 + Baseline,Baseline,0.0258,30813.1,21.98,+21.98
25k_0p03.mtx,16,RegBlock4 + Prefetch8,Combined,0.0273,29110.7,17.42,+17.42
25k_0p03.mtx,16,RegBlock4 + Prefetch16,Combined,0.0261,30519.8,21.23,+21.23
25k_0p03.mtx,16,RegBlock8 + Prefetch8,Combined,0.0270,29448.0,18.37,+18.37
25k_0p03.mtx,24,RegBlock4 + Prefetch16,Combined,0.0227,34626.4,11.06,+11.06
25k_0p03.mtx,24,RegBlock8 + Prefetch8,Combined,0.0228,34404.9,10.49,+10.49
2k_0p22.mtx,2,RegBlock-8 + Baseline,Baseline,0.0071,452.3,-13.87,-13.87
2k_0p22.mtx,2,Prefetch-8 + Baseline,Baseline,0.0090,353.9,-45.54,-45.54
2k_0p22.mtx,2,Prefetch-16 + Baseline,Baseline,0.0100,318.8,-61.58,-61.58
2k_0p22.mtx,2,RegBlock4 + Prefetch16,Combined,0.0063,509.4,-1.11,-1.11
2k_0p22.mtx,2,RegBlock8 + Prefetch8,Combined,0.0080,401.7,-28.21,-28.21
2k_0p22.mtx,4,RegBlock-8 + Baseline,Baseline,0.0162,197.4,-9.96,-9.96
2k_0p22.mtx,4,Prefetch-8 + Baseline,Baseline,0.0178,179.3,-21.00,-21.00
2k_0p22.mtx,4,Prefetch-16 + Baseline,Baseline,0.0180,177.5,-22.28,-22.28
2k_0p22.mtx,4,RegBlock4 + Prefetch8,Combined,0.0158,202.1,-7.38,-7.38
2k_0p22.mtx,4,RegBlock8 + Prefetch8,Combined,0.0154,208.1,-4.29,-4.29
2k_0p22.mtx,8,RegBlock-4 + Baseline,Baseline,0.0188,170.0,-8.26,-8.26
2k_0p22.mtx,8,RegBlock-8 + Baseline,Baseline,0.0199,160.5,-14.66,-14.66
2k_0p22.mtx,8,Prefetch-8 + Baseline,Baseline,0.0189,169.4,-8.65,-8.65
2k_0p22.mtx,8,Prefetch-16 + Baseline,Baseline,0.0187,171.0,-7.61,-7.61
2k_0p22.mtx,8,RegBlock4 + Prefetch8,Combined,0.0176,182.1,-1.06,-1.06
2k_0p22.mtx,8,RegBlock8 + Prefetch8,Combined,0.0177,180.4,-1.98,-1.98
2k_0p22.mtx,16,Prefetch-16 + Baseline,Baseline,0.0169,188.6,-0.89,-0.89
2k_0p22.mtx,16,RegBlock4 + Prefetch8,Combined,0.0173,184.4,-3.17,-3.17
2k_0p22.mtx,16,RegBlock8 + Prefetch8,Combined,0.0175,182.3,-4.35,-4.35
2k_0p22.mtx,24,Prefetch-8 + Baseline,Baseline,0.0162,197.9,-1.80,-1.80
2k_0p22.mtx,24,Prefetch-16 + Baseline,Baseline,0.0165,193.3,-4.18,-4.18
2k_0p22.mtx,24,RegBlock4 + Prefetch8,Combined,0.0173,184.9,-8.96,-8.96
2k_0p22.mtx,24,RegBlock4 + Prefetch16,Combined,0.0166,192.9,-4.42,-4.42
2k_0p22.mtx,24,RegBlock8 + Prefetch8,Combined,0.0164,194.5,-3.54,-3.54
2k_0p52.mtx,2,RegBlock-4 + Baseline,Baseline,0.0099,494.1,24.66,+24.66
2k_0p52.mtx,2,RegBlock-8 + Baseline,Baseline,0.0109,448.0,16.90,+16.90
2k_0p52.mtx,2,Prefetch-8 + Baseline,Baseline,0.0154,316.8,-17.51,-17.51
2k_0p52.mtx,2,Prefetch-16 + Baseline,Baseline,0.0149,327.2,-13.78,-13.78
2k_0p52.mtx,2,RegBlock4 + Prefetch8,Combined,0.0109,445.8,16.49,+16.49
2k_0p52.mtx,2,RegBlock4 + Prefetch16,Combined,0.0106,459.1,18.91,+18.91
2k_0p52.mtx,2,RegBlock8 + Prefetch8,Combined,0.0111,438.6,15.12,+15.12
2k_0p52.mtx,4,RegBlock-4 + Baseline,Baseline,0.0084,580.5,25.71,+25.71
2k_0p52.mtx,4,RegBlock-8 + Baseline,Baseline,0.0089,546.1,21.04,+21.04
2k_0p52.mtx,4,RegBlock4 + Prefetch8,Combined,0.0089,550.3,21.63,+21.63
2k_0p52.mtx,4,RegBlock4 + Prefetch16,Combined,0.0088,555.2,22.33,+22.33
2k_0p52.mtx,4,RegBlock8 + Prefetch8,Combined,0.0092,529.3,18.52,+18.52
2k_0p52.mtx,8,RegBlock-4 + Baseline,Baseline,0.0081,603.3,15.97,+15.97
2k_0p52.mtx,8,RegBlock-8 + Baseline,Baseline,0.0086,567.1,10.61,+10.61
2k_0p52.mtx,8,Prefetch-8 + Baseline,Baseline,0.0097,503.3,-0.72,-0.72
2k_0p52.mtx,8,Prefetch-16 + Baseline,Baseline,0.0098,497.8,-1.83,-1.83
2k_0p52.mtx,8,RegBlock4 + Prefetch8,Combined,0.0085,574.6,11.78,+11.78
2k_0p52.mtx,8,RegBlock4 + Prefetch16,Combined,0.0086,565.5,10.37,+10.37
2k_0p52.mtx,8,RegBlock8 + Prefetch8,Combined,0.0086,567.5,10.67,+10.67
2k_0p52.mtx,16,Prefetch-8 + Baseline,Baseline,0.0097,505.0,-4.51,-4.51
2k_0p52.mtx,16,RegBlock8 + Prefetch8,Combined,0.0111,442.0,-19.39,-19.39
2k_0p52.mtx,24,RegBlock-4 + Baseline,Baseline,0.0109,448.0,-0.93,-0.93
2k_0p52.mtx,24,Prefetch-8 + Baseline,Baseline,0.0110,444.2,-1.80,-1.80
2k_0p52.mtx,24,RegBlock8 + Prefetch8,Combined,0.0108,449.9,-0.52,-0.52
30k_0p05.mtx,2,RegBlock-4 + Baseline,Baseline,0.1902,5996.4,13.48,+13.48
30k_0p05.mtx,2,Prefetch-8 + Baseline,Baseline,0.2605,4378.6,-18.48,-18.48
30k_0p05.mtx,2,Prefetch-16 + Baseline,Baseline,0.2288,4985.6,-4.06,-4.06
30k_0p05.mtx,2,RegBlock8 + Prefetch8,Combined,0.2317,4923.2,-5.38,-5.38
30k_0p05.mtx,4,RegBlock-4 + Baseline,Baseline,0.1040,10967.5,20.22,+20.22
30k_0p05.mtx,4,RegBlock-8 + Baseline,Baseline,0.1170,9754.8,10.30,+10.30
30k_0p05.mtx,4,Prefetch-8 + Baseline,Baseline,0.1367,8348.0,-4.82,-4.82
30k_0p05.mtx,4,RegBlock4 + Prefetch8,Combined,0.1161,9827.2,10.96,+10.96
30k_0p05.mtx,4,RegBlock4 + Prefetch16,Combined,0.1109,10289.9,14.96,+14.96
30k_0p05.mtx,8,RegBlock-4 + Baseline,Baseline,0.0629,18136.3,16.25,+16.25
30k_0p05.mtx,8,Prefetch-8 + Baseline,Baseline,0.0825,13834.1,-9.79,-9.79
30k_0p05.mtx,8,RegBlock4 + Prefetch16,Combined,0.0653,17464.3,13.03,+13.03
30k_0p05.mtx,16,RegBlock-4 + Baseline,Baseline,0.0458,24892.1,11.39,+11.39
30k_0p05.mtx,16,Prefetch-8 + Baseline,Baseline,0.0538,21203.8,-4.02,-4.02
30k_0p05.mtx,24,RegBlock-4 + Baseline,Baseline,0.0320,35653.8,10.80,+10.80
30k_0p05.mtx,24,Prefetch-8 + Baseline,Baseline,0.0376,30385.4,-4.67,-4.67
40k_0p02.mtx,2,RegBlock-4 + Baseline,Baseline,0.3588,5746.7,-26.11,-26.11
40k_0p02.mtx,2,RegBlock-8 + Baseline,Baseline,0.3651,5647.6,-28.33,-28.33
40k_0p02.mtx,2,Prefetch-8 + Baseline,Baseline,0.3842,5366.9,-35.04,-35.04
40k_0p02.mtx,2,Prefetch-16 + Baseline,Baseline,0.3704,5566.6,-30.19,-30.19
40k_0p02.mtx,2,RegBlock4 + Prefetch8,Combined,0.3728,5530.7,-31.04,-31.04
40k_0p02.mtx,2,RegBlock4 + Prefetch16,Combined,0.3661,5631.8,-28.69,-28.69
40k_0p02.mtx,2,RegBlock8 + Prefetch8,Combined,0.3798,5429.1,-33.49,-33.49
