matrix,rows,cols,density_pct,nnz,threads,configuration,time_ms,speedup,efficiency_pct,std_dev_ms,improvement_pct,exit_code,notes
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD+Register,",1.364,71.10,296.3,0.022,98.56,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD+Register,",1.376,70.47,293.6,0.012,98.55,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Task-based+SIMD",1.507,64.34,268.1,0.017,98.41,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Guided+SIMD+Align+Affin,",1.371,70.72,294.7,0.012,98.55,0,""
"10k_1p5.mtx",9506,9506,1.50,1358832,1,"Static+SIMD+Align+Affin,",1.377,70.45,293.5,0.017,98.55,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Static (default)",9.986,14.55,60.6,0.030,0.00,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Static, chunk=8",9.996,14.54,60.6,0.032,,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Static, chunk=32",10.077,14.42,60.1,0.032,,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Dynamic, chunk=8",9.825,14.79,61.6,0.013,1.62,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Dynamic, chunk=16",9.849,14.76,61.5,0.038,1.38,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Dynamic, chunk=32",9.859,14.74,61.4,0.042,1.28,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Dynamic, chunk=64",10.087,14.41,60.0,0.023,,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Guided, chunk=8",9.723,14.95,62.3,0.078,2.63,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Guided, chunk=16",9.740,14.92,62.2,0.049,2.47,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Guided, chunk=32",9.773,14.87,62.0,0.050,2.14,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Auto (runtime)",9.966,14.58,60.8,0.031,0.20,0,""
"11k_0p38.mtx",10605,10605,0.38,424587,16,"Static+SIMD, chunk=8",0.054,2711.39,11297.4,0.003,99.46,0,""
