num_procs,matrix,rows,cols,nnz,density_pct,config_name,avg_time_ms,std_dev_ms,min_time_ms,max_time_ms,comm_time_ms,compute_time_ms,speedup,efficiency_pct,iterations,notes
4,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,MPI_Bcast+Gatherv,1778.9998,53.1754,1680.0072,1822.9990,1705.4519,59.7491,1.0000,25.00,10,""
4,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,Ibcast+Overlap,1794.9823,298.5001,1683.0065,2408.0124,1882.8335,47.5639,0.9911,24.78,10,""
8,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,MPI_Bcast+Gatherv,1951.8899,60.5716,1888.0210,2083.0574,1918.9759,48.2391,1.0000,12.50,10,""
8,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,Ibcast+Overlap,2056.9453,101.5809,1884.1023,2210.9661,1995.3631,56.8495,0.9489,11.86,10,""
16,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,MPI_Bcast+Gatherv,4766.4188,75.5210,4609.2598,4862.9811,4696.9507,63.9675,1.0000,6.25,10,""
16,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,Ibcast+Overlap,5437.5129,226.7962,5182.0908,5892.1616,5414.5467,63.9657,0.8766,5.48,10,""
32,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,MPI_Bcast+Gatherv,4321.7595,65.1492,4222.2996,4417.9296,4306.7417,2.8924,1.0000,3.12,10,""
32,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,Ibcast+Overlap,6585.5448,171.8305,6272.1968,6909.8439,6577.2204,2.8668,0.6562,2.05,10,""
64,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,MPI_Bcast+Gatherv,10750.9714,142.1934,10503.0186,10891.0306,10710.8331,1.4904,1.0000,1.56,10,""
64,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,Ibcast+Overlap,13140.3563,164.0765,13055.7075,13571.8203,13188.4333,1.4676,0.8182,1.28,10,""
128,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,MPI_Bcast+Gatherv,7974.9782,305.8772,7595.9172,8813.1311,8038.1280,0.7567,1.0000,0.78,10,""
128,1565k_0p0024.mtx,1564794,1564794,59485419,0.0024,Ibcast+Overlap,13649.8117,276.8378,13526.6268,14226.9092,13751.7992,17.2063,0.5843,0.46,10,""
